,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Bethel,US,35.96,clear sky,41.3712,-73.414,Hampton Inn Danbury
199,Fairbanks,US,15.76,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel
200,Whitley Bay,GB,31.91,broken clouds,55.0397,-1.4471,Dunes Hotel
201,Kashi,CN,20.41,dust,39.4547,75.9797,深航国际酒店
203,Den Helder,NL,35.02,fog,52.9599,4.7593,Forest Hotel
213,Kristiinankaupunki,FI,18.41,overcast clouds,62.2743,21.376,Hotel Alma
215,Zhangye,CN,22.73,overcast clouds,38.9342,100.4517,Zhangye Hotel 张掖饭店
216,Qasigiannguit,GL,37.65,overcast clouds,68.8193,-51.1922,Hotel Diskobay
223,Dryden,CA,21.49,clear sky,49.7833,-92.7503,Holiday Inn Express
234,Yuksekova,TR,20.95,mist,37.5736,44.2872,Hotel Oslo
242,Pendleton,US,42.75,overcast clouds,45.6721,-118.7886,Working Girls Hotel
245,Narsaq,GL,19.62,clear sky,60.9167,-46.05,Hotel Narsaq
252,Sauda,NO,29.68,clear sky,59.6506,6.3542,Mettes Lille Hotell
253,Maniitsoq,GL,33.37,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
260,Sterling,US,40.59,clear sky,39.0062,-77.4286,Residence Inn by Marriott Dulles Airport at Dulles 28 Centre
262,Kuryk,KZ,25.81,clear sky,43.2,51.65,Kuryk
268,Banepa,NP,44.92,mist,27.6298,85.5214,rajendra
272,Terney,RU,23.86,overcast clouds,45.0503,136.6092,Терней
277,Kropotkin,RU,40.05,overcast clouds,45.4375,40.5756,Европа
292,Kitakata,JP,42.8,overcast clouds,37.65,139.8667,笹屋旅館
295,College,US,15.75,light snow,64.8569,-147.8028,BEST WESTERN PLUS Pioneer Park Inn
298,Grindavik,IS,30.67,clear sky,63.8424,-22.4338,The Retreat at Blue Lagoon Iceland
301,Sitka,US,37.29,light rain,57.0531,-135.33,Aspen Suites Hotel
308,Great Yarmouth,GB,30.94,clear sky,52.6083,1.7305,Classic Lodge
310,Ventspils,LV,24.73,clear sky,57.3894,21.5606,Dzintarjūra
315,Ukiah,US,47.44,overcast clouds,39.1502,-123.2078,Palace Hotel
321,Bad Nauheim,DE,33.19,overcast clouds,50.3646,8.7386,Rex
322,Prince Rupert,CA,37.09,overcast clouds,54.3161,-130.3201,Crest Hotel
330,Jablunkov,CZ,35.1,light snow,49.5767,18.7646,Hotel Bullawa
331,Cheltenham,GB,32.94,few clouds,51.9,-2.0833,George Hotel
337,Lavrentiya,RU,15.91,overcast clouds,65.5833,-171.0,Фортуна
342,Eureka,US,48.61,overcast clouds,40.8021,-124.1637,"Eureka Inn, Trademark Collection by Wyndham"
346,Staroderevyankovskaya,RU,44.13,overcast clouds,46.1276,38.9674,Колос
348,Olafsvik,IS,33.76,few clouds,64.8945,-23.7142,North Star Hotel Snæfellsnes
354,Pahrump,US,48.25,clear sky,36.2083,-115.9839,Holiday Inn Express & Suites
357,Tabas,IR,43.45,few clouds,33.5959,56.9244,هتل امیر
360,Craig,US,19.02,scattered clouds,40.5153,-107.5464,Quality Inn & Suites
362,Leh,IN,16.77,overcast clouds,34.1667,77.5833,Kang Lha Chen
369,Dunabogdany,HU,44.82,overcast clouds,47.7905,19.0413,Bonifert Panzió
370,Saint-Denis,FR,34.14,mist,48.9167,2.3333,Hôtel de France
374,Vizinga,RU,13.51,overcast clouds,61.0749,50.1031,Надежда
376,Halifax,CA,39.45,overcast clouds,44.6453,-63.5724,Four Points by Sheraton Halifax
392,North Platte,US,35.38,clear sky,41.1239,-100.7654,Ramada
396,Bar Harbor,US,31.26,clear sky,44.3876,-68.2039,Acadia Hotel
398,Anadyr,RU,10.9,clear sky,64.75,177.4833,Гостевой дом
400,Klaksvik,FO,36.52,light rain,62.2266,-6.589,Hotel Klaksvik
405,Nemuro,JP,37.36,scattered clouds,43.3236,145.575,イーストハーバーホテル
408,Abbeville,FR,32.49,broken clouds,50.1,1.8333,Hôtel Mercure
417,Vardo,NO,24.78,snow,70.3705,31.1107,Meieriet
428,Zaozhuang,CN,46.06,scattered clouds,34.8647,117.5542,枣庄大酒店
430,Falkenstein,DE,30.06,overcast clouds,50.4779,12.3713,Zur Sonne
442,Zheleznogorsk,RU,32.54,overcast clouds,52.331,35.3711,Гостиница Железногорск
445,Saint Cloud,US,31.84,overcast clouds,45.5608,-94.1625,Courtyard
448,Brae,GB,39.74,overcast clouds,60.3964,-1.353,Brae Hotel
450,Liberal,US,41.14,clear sky,37.0431,-100.921,Days Inn
452,Hachinohe,JP,43.48,clear sky,40.5,141.5,スーパーホテル
455,Stryn,NO,21.92,broken clouds,61.9045,6.7226,Stryn Hotel
458,Saint George,US,46.99,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
464,Portland,US,44.91,moderate rain,45.5234,-122.6762,the Hoxton
465,Tromso,NO,21.38,clear sky,69.6496,18.957,Clarion Collection Hotel Aurora
471,Seoul,KR,38.64,clear sky,37.5683,126.9778,뉴국제호텔
477,Narva-Joesuu,EE,17.74,overcast clouds,59.4589,28.0408,YES Hotel
482,Verkhovyna,UA,42.8,overcast clouds,48.1557,24.7911,Гуцульський припочівок
491,Glendive,US,27.18,overcast clouds,47.1053,-104.7125,La Quinta Inn & Suites by Wyndham Glendive
496,Pryazha,RU,25.83,light snow,61.6926,33.6216,Пряжа
501,Douglas,US,35.6,mist,41.3,-96.167,Residence Inn Omaha West
513,Arcachon,FR,32.41,clear sky,44.5875,-1.0519,All Suites
517,Nanortalik,GL,21.87,clear sky,60.1432,-45.2371,Kap Farvel
529,Digby,CA,37.58,overcast clouds,44.6169,-65.7655,Digby Backpackers Inn
531,Mehamn,NO,17.51,overcast clouds,71.0357,27.8492,Mehamn Arctic hotell
546,Andenes,NO,24.78,scattered clouds,69.3143,16.1194,Andrikken hotell
558,Uniontown,US,41.45,broken clouds,39.9001,-79.7164,Heritage Inn
562,Minsk,BY,28.15,overcast clouds,53.9,27.5667,Европа
564,Hauterive,FR,30.96,overcast clouds,46.0901,3.4459,Auberge Bourbonnaise
569,Haines Junction,CA,10.35,broken clouds,60.7522,-137.5108,Parkside Inn
572,Toftlund,DK,31.78,mist,55.1886,9.0693,Frosch's Hotel
573,Alamosa,US,27.32,clear sky,37.4695,-105.87,40 Winks Inn
577,Kalmar,SE,29.14,overcast clouds,56.6616,16.3616,Frimurarehotellet
586,Gryazovets,RU,17.13,overcast clouds,58.88,40.2525,Дружба
587,Southampton,GB,29.8,few clouds,50.904,-1.4043,Travelodge
589,Stratford-Upon-Avon,GB,32.77,scattered clouds,52.1917,-1.7073,The Shakespeare
593,Patacamaya,BO,49.5,overcast clouds,-17.2333,-67.9167,Hostal Viña del Mar
594,Fort Frances,CA,25.16,overcast clouds,48.5999,-93.4003,The Rambler
597,Birjand,IR,27.07,clear sky,32.8663,59.2211,مهمانسرای جهانگردی بیرجند
598,Vestmannaeyjar,IS,36.46,clear sky,63.4427,-20.2734,Hotel Vestmannaeyjar
604,Monster,NL,33.98,mist,52.0258,4.175,Fletcher Hotel-Restaurant Elzenduin
611,Obihiro,JP,33.21,clear sky,42.9172,143.2044,コンフォートホテル帯広
615,Muros,ES,49.08,clear sky,42.7762,-9.0603,Pensión Ría de Muros
620,Skjervoy,NO,12.2,few clouds,70.0311,20.9714,Hotel Maritim Skjervøy
629,Dinard,FR,30.63,mist,48.6314,-2.0614,Les Tilleuls
630,Ferrieres,BE,29.48,clear sky,50.4016,5.6109,Au Vieux Logis
632,Alpena,US,33.19,overcast clouds,45.0617,-83.4327,Ramada of Alpena
636,Lerwick,GB,39.2,light rain,60.1545,-1.1494,Grand Hotel
639,Challans,FR,27.52,clear sky,46.8436,-1.8749,Le Challans
647,Shache,CN,22.19,clear sky,38.4167,77.2406,莎車新盛賓舘
650,Ferme-Neuve,CA,11.46,clear sky,46.7001,-75.4493,Auberge Chez Isaïe
661,Skelleftea,SE,19.76,snow,64.7507,20.9528,Hotel Victoria
668,Rovaniemi,FI,18.81,overcast clouds,66.5,25.7167,Matkustajakoti Outa
670,Kenai,US,16.14,clear sky,60.5544,-151.2583,Beluga Lookout Hotel
680,Freudenstadt,DE,27.63,overcast clouds,48.4333,8.4167,Gut Lauterbad
